,week,skill_name,skill_group,count,count_lag1,count_lag2,count_lag3,total_job_lag1,ai_percent_lag1,companion_name,companion_lag1
186,6,.net,framework,7,8.0,,,55.0,27.27272727272727,asp.net,2.0
322,7,.net,framework,9,7.0,8.0,,67.0,25.37313432835821,asp.net,0.0
458,8,.net,framework,8,9.0,7.0,8.0,100.0,18.0,asp.net,5.0
594,9,.net,framework,27,8.0,9.0,7.0,58.0,15.517241379310345,asp.net,0.0
730,10,.net,framework,29,27.0,8.0,9.0,208.0,16.346153846153847,asp.net,10.0
866,11,.net,framework,21,29.0,27.0,8.0,218.0,24.31192660550459,asp.net,11.0
1002,12,.net,framework,21,21.0,29.0,27.0,220.0,15.909090909090908,asp.net,8.0
1138,13,.net,framework,28,21.0,21.0,29.0,193.0,25.38860103626943,asp.net,4.0
1274,14,.net,framework,16,28.0,21.0,21.0,167.0,20.35928143712575,asp.net,7.0
1410,15,.net,framework,16,16.0,28.0,21.0,186.0,20.43010752688172,asp.net,6.0
187,6,ajax,framework,0,2.0,,,55.0,27.27272727272727,,0.0
323,7,ajax,framework,1,0.0,2.0,,67.0,25.37313432835821,,0.0
459,8,ajax,framework,0,1.0,0.0,2.0,100.0,18.0,,0.0
595,9,ajax,framework,2,0.0,1.0,0.0,58.0,15.517241379310345,,0.0
731,10,ajax,framework,4,2.0,0.0,1.0,208.0,16.346153846153847,,0.0
867,11,ajax,framework,2,4.0,2.0,0.0,218.0,24.31192660550459,,0.0
1003,12,ajax,framework,0,2.0,4.0,2.0,220.0,15.909090909090908,,0.0
1139,13,ajax,framework,2,0.0,2.0,4.0,193.0,25.38860103626943,,0.0
1275,14,ajax,framework,2,2.0,0.0,2.0,167.0,20.35928143712575,,0.0
1411,15,ajax,framework,0,2.0,2.0,0.0,186.0,20.43010752688172,,0.0
188,6,angular,framework,6,5.0,,,55.0,27.27272727272727,vue,6.0
324,7,angular,framework,9,6.0,5.0,,67.0,25.37313432835821,vue,4.0
460,8,angular,framework,3,9.0,6.0,5.0,100.0,18.0,vue,14.0
596,9,angular,framework,20,3.0,9.0,6.0,58.0,15.517241379310345,vue,3.0
732,10,angular,framework,16,20.0,3.0,9.0,208.0,16.346153846153847,vue,13.0
868,11,angular,framework,11,16.0,20.0,3.0,218.0,24.31192660550459,vue,18.0
1004,12,angular,framework,12,11.0,16.0,20.0,220.0,15.909090909090908,vue,8.0
1140,13,angular,framework,9,12.0,11.0,16.0,193.0,25.38860103626943,vue,12.0
1276,14,angular,framework,12,9.0,12.0,11.0,167.0,20.35928143712575,vue,10.0
1412,15,angular,framework,13,12.0,9.0,12.0,186.0,20.43010752688172,vue,14.0
136,6,ansible,cloud_devops,3,2.0,,,55.0,27.27272727272727,terraform,4.0
272,7,ansible,cloud_devops,2,3.0,2.0,,67.0,25.37313432835821,terraform,7.0
408,8,ansible,cloud_devops,2,2.0,3.0,2.0,100.0,18.0,terraform,8.0
544,9,ansible,cloud_devops,7,2.0,2.0,3.0,58.0,15.517241379310345,terraform,6.0
680,10,ansible,cloud_devops,3,7.0,2.0,2.0,208.0,16.346153846153847,terraform,21.0
816,11,ansible,cloud_devops,10,3.0,7.0,2.0,218.0,24.31192660550459,terraform,10.0
952,12,ansible,cloud_devops,7,10.0,3.0,7.0,220.0,15.909090909090908,terraform,18.0
1088,13,ansible,cloud_devops,7,7.0,10.0,3.0,193.0,25.38860103626943,terraform,17.0
1224,14,ansible,cloud_devops,13,7.0,7.0,10.0,167.0,20.35928143712575,terraform,10.0
1360,15,ansible,cloud_devops,11,13.0,7.0,7.0,186.0,20.43010752688172,terraform,18.0
189,6,ant design,framework,1,0.0,,,55.0,27.27272727272727,,0.0
325,7,ant design,framework,0,1.0,0.0,,67.0,25.37313432835821,,0.0
461,8,ant design,framework,0,0.0,1.0,0.0,100.0,18.0,,0.0
597,9,ant design,framework,2,0.0,0.0,1.0,58.0,15.517241379310345,,0.0
733,10,ant design,framework,0,2.0,0.0,0.0,208.0,16.346153846153847,,0.0
869,11,ant design,framework,2,0.0,2.0,0.0,218.0,24.31192660550459,,0.0
1005,12,ant design,framework,4,2.0,0.0,2.0,220.0,15.909090909090908,,0.0
1141,13,ant design,framework,1,4.0,2.0,0.0,193.0,25.38860103626943,,0.0
1277,14,ant design,framework,1,1.0,4.0,2.0,167.0,20.35928143712575,,0.0
1413,15,ant design,framework,3,1.0,1.0,4.0,186.0,20.43010752688172,,0.0
