elem_id,domain_name
1,Software Products and Web Services
2,Software Products and Web Services
3,Game
4,Software Products and Web Services
5,E-commerce
5,Software Development Outsourcing
5,Software Products and Web Services
6,E-commerce
6,Financial Services
7,IT Services and IT Consulting
8,Software Products and Web Services
9,Financial Services
11,Game
11,Software Products and Web Services
12,IT Services and IT Consulting
13,IT Services and IT Consulting
14,IT Services and IT Consulting
15,Software Development Outsourcing
15,Software Products and Web Services
16,Software Development Outsourcing
16,Software Products and Web Services
17,Software Development Outsourcing
17,Software Products and Web Services
18,Software Products and Web Services
19,IT Services and IT Consulting
19,Software Development Outsourcing
19,Software Products and Web Services
19,AI Software & Services
20,IT Services and IT Consulting
20,Software Development Outsourcing
20,Software Products and Web Services
20,AI Software & Services
21,Software Products and Web Services
22,Banking
22,Software Products and Web Services
22,Financial Services
23,Software Products and Web Services
24,AI Software & Services
25,Software Products and Web Services
26,"Transportation, Logistics and Warehouse"
27,AI Software & Services
28,IT Services and IT Consulting
29,Banking
29,Software Products and Web Services
29,Financial Services
29,AI Software & Services
30,Software Development Outsourcing
31,IT Services and IT Consulting
32,IT Services and IT Consulting
32,Software Development Outsourcing
32,Software Products and Web Services
32,AI Software & Services
33,AI Software & Services
34,IT Services and IT Consulting
35,Software Products and Web Services
36,Education and Training
37,"Real Estate, Property and Construction"
37,IT Services and IT Consulting
37,Software Products and Web Services
38,Software Products and Web Services
39,Banking
39,Securities & Investment
39,Financial Services
39,AI Software & Services
40,Software Products and Web Services
41,IT Services and IT Consulting
41,Software Products and Web Services
41,Professional Services
41,AI Software & Services
42,Banking
42,Financial Services
44,E-commerce
44,IT Services and IT Consulting
44,"Transportation, Logistics and Warehouse"
44,Software Development Outsourcing
44,Software Products and Web Services
45,Software Development Outsourcing
46,Banking
46,Financial Services
48,AI Software & Services
49,Software Products and Web Services
50,Software Products and Web Services
51,AI Software & Services
52,AI Software & Services
53,Tourism and Hospitality Services
53,IT Services and IT Consulting
53,Software Products and Web Services
53,Emerging Tech R&D
53,AI Software & Services
54,IT Services and IT Consulting
54,Software Products and Web Services
54,Professional Services
54,AI Software & Services
55,IT Services and IT Consulting
56,Manufacturing and Engineering
57,IT Services and IT Consulting
58,Software Products and Web Services
59,Manufacturing and Engineering
59,IT Services and IT Consulting
59,Software Development Outsourcing
59,Software Products and Web Services
59,AI Software & Services
60,Software Products and Web Services
61,Software Products and Web Services
62,AI Software & Services
63,Banking
64,Blockchain & Web3 Services
64,Software Products and Web Services
64,AI Software & Services
65,AI Software & Services
66,IT Services and IT Consulting
67,IT Services and IT Consulting
67,Software Products and Web Services
67,Emerging Tech R&D
67,AI Software & Services
68,Tourism and Hospitality Services
68,IT Services and IT Consulting
68,Software Development Outsourcing
68,Software Products and Web Services
68,AI Software & Services
69,Banking
69,Financial Services
70,Network and Infrastructure
71,E-commerce
71,Trading and Commercial
71,Creative and Design
71,AI Software & Services
72,E-commerce
72,Pharmaceuticals
72,Retail and Wholesale
72,Healthcare
72,AI Software & Services
73,Software Products and Web Services
73,AI Software & Services
74,E-commerce
75,IT Services and IT Consulting
75,AI Software & Services
76,AI Software & Services
77,AI Software & Services
78,Software Products and Web Services
79,IT Services and IT Consulting
79,Financial Services
80,Banking
80,Software Products and Web Services
80,Financial Services
81,IT Services and IT Consulting
81,Software Products and Web Services
81,AI Software & Services
82,"Media, Advertising and Entertainment"
82,IT Services and IT Consulting
82,Software Products and Web Services
82,Emerging Tech R&D
82,AI Software & Services
83,Banking
83,Financial Services
84,Game
85,IT Services and IT Consulting
86,IT Services and IT Consulting
88,Software Development Outsourcing
89,IT Services and IT Consulting
90,Software Products and Web Services
91,Financial Services
92,Banking
92,Software Products and Web Services
92,Financial Services
93,Software Products and Web Services
94,Software Products and Web Services
95,Software Development Outsourcing
96,IT Hardware and Computing
97,Software Products and Web Services
98,Software Products and Web Services
98,Financial Services
99,AI Software & Services
100,IT Services and IT Consulting
100,Cyber Security
100,Software Products and Web Services
100,Emerging Tech R&D
100,AI Software & Services
101,IT Services and IT Consulting
101,Software Products and Web Services
101,Healthcare
102,IT Hardware and Computing
102,Manufacturing and Engineering
102,IT Services and IT Consulting
102,Software Development Outsourcing
102,Software Products and Web Services
103,IT Services and IT Consulting
103,Software Development Outsourcing
103,Software Products and Web Services
105,IT Services and IT Consulting
105,"Transportation, Logistics and Warehouse"
106,E-commerce
107,IT Services and IT Consulting
107,Software Development Outsourcing
107,Software Products and Web Services
107,AI Software & Services
108,Software Development Outsourcing
109,Financial Services
110,Manufacturing and Engineering
110,IT Services and IT Consulting
110,Network and Infrastructure
110,Software Development Outsourcing
110,Software Products and Web Services
111,Software Products and Web Services
112,Software Products and Web Services
113,Game
113,IT Services and IT Consulting
113,Financial Services
114,"Media, Advertising and Entertainment"
114,Software Products and Web Services
115,E-commerce
116,"Real Estate, Property and Construction"
116,Software Products and Web Services
117,Software Products and Web Services
118,Software Development Outsourcing
119,Game
119,"Media, Advertising and Entertainment"
119,Software Products and Web Services
120,E-commerce
120,Software Products and Web Services
121,IT Services and IT Consulting
121,Software Development Outsourcing
121,Emerging Tech R&D
122,Software Products and Web Services
123,IT Services and IT Consulting
124,IT Services and IT Consulting
125,Software Products and Web Services
125,AI Software & Services
126,Software Products and Web Services
126,Staffing and Recruiting
127,Financial Services
128,IT Services and IT Consulting
129,IT Services and IT Consulting
129,Software Development Outsourcing
129,Software Products and Web Services
130,E-commerce
131,Education and Training
132,Software Development Outsourcing
132,AI Software & Services
133,IT Services and IT Consulting
134,E-commerce
135,Software Development Outsourcing
136,IT Services and IT Consulting
138,E-commerce
138,IT Services and IT Consulting
138,"Transportation, Logistics and Warehouse"
138,Software Development Outsourcing
138,Software Products and Web Services
139,Software Products and Web Services
139,AI Software & Services
140,E-commerce
141,IT Services and IT Consulting
141,Software Development Outsourcing
141,Software Products and Web Services
142,Blockchain & Web3 Services
142,Software Development Outsourcing
143,Software Products and Web Services
144,Manufacturing and Engineering
144,IT Services and IT Consulting
144,Software Development Outsourcing
144,Software Products and Web Services
144,AI Software & Services
145,Blockchain & Web3 Services
145,Software Products and Web Services
145,Securities & Investment
145,Financial Services
146,IT Services and IT Consulting
147,Software Development Outsourcing
148,Software Products and Web Services
149,Insurance
149,Pharmaceuticals
149,Healthcare
150,IT Services and IT Consulting
151,Manufacturing and Engineering
151,IT Services and IT Consulting
151,Software Development Outsourcing
151,Software Products and Web Services
151,AI Software & Services
152,E-commerce
152,"Media, Advertising and Entertainment"
152,IT Services and IT Consulting
152,Software Products and Web Services
153,Telecommunication
153,Software Products and Web Services
154,E-commerce
154,Creative and Design
154,AI Software & Services
155,Banking
155,Financial Services
157,Cyber Security
157,Software Products and Web Services
157,AI Software & Services
158,Software Products and Web Services
159,Cyber Security
160,Tourism and Hospitality Services
160,Education and Training
160,"Real Estate, Property and Construction"
160,IT Services and IT Consulting
160,Healthcare
161,Software Products and Web Services
163,Financial Services
164,Game
164,"Media, Advertising and Entertainment"
164,Software Products and Web Services
165,Software Development Outsourcing
166,Software Products and Web Services
167,Software Products and Web Services
168,Software Products and Web Services
168,Sports and Fitness
168,AI Software & Services
169,E-commerce
170,IT Services and IT Consulting
171,Education and Training
171,IT Services and IT Consulting
171,Software Products and Web Services
171,AI Software & Services
172,IT Services and IT Consulting
172,Software Development Outsourcing
172,Software Products and Web Services
172,AI Software & Services
173,Software Products and Web Services
174,Software Products and Web Services
175,Healthcare
176,Banking
177,IT Services and IT Consulting
177,Software Products and Web Services
177,Professional Services
177,AI Software & Services
178,IT Services and IT Consulting
179,Insurance
179,Banking
179,Software Development Outsourcing
179,Securities & Investment
179,Financial Services
180,E-commerce
181,Banking
181,Software Products and Web Services
181,Financial Services
182,Manufacturing and Engineering
183,"Transportation, Logistics and Warehouse"
184,Financial Services
185,Software Development Outsourcing
185,Software Products and Web Services
186,Software Products and Web Services
186,AI Software & Services
187,IT Services and IT Consulting
188,Software Development Outsourcing
189,IT Services and IT Consulting
189,Software Development Outsourcing
189,Software Products and Web Services
190,IT Services and IT Consulting
190,Software Products and Web Services
191,IT Services and IT Consulting
192,IT Services and IT Consulting
