elem_id,skill_name
1,.NET
1,ASP.NET
1,DevOps
1,JavaScript
2,.NET
2,C#
2,CI/CD
2,Redis
2,Microsoft SQL Server
2,Web API
3,Unity
3,Games
3,C#
4,Business Analysis
4,Oracle
4,ERP
4,SQL
5,ReactJS
5,NodeJS
5,MongoDB
5,NestJS
5,TypeScript
5,NextJS
6,Product Management
6,Product Owner
6,Business Analysis
6,UI-UX
7,System Admin
7,SQL
7,PHP
7,MySQL
7,Nginx
8,.NET
8,C#
8,ASP.NET
8,JavaScript
8,CSS
8,HTML
9,Java
9,Maven
9,AI
9,Spring
9,Oracle
9,SQL
11,UI-UX
11,Illustrator
11,Figma
11,Games
11,Design
12,Games
12,Unity
12,3ds Max
12,Blender
13,Design
13,Unity
13,3ds Max
13,Maya
13,Blender
13,Games
14,.NET
14,SQL
14,JavaScript
14,Database
14,MVC
14,C#
15,.NET
15,Database
15,English
15,ASP.NET
15,C#
15,JavaScript
16,C#
16,Azure
16,.NET
16,ASP.NET
16,JavaScript
16,English
17,C#
17,Database
17,Azure
17,.NET
17,ASP.NET
17,English
18,ABAP
18,API
18,OOP
18,Cloud
18,SAP
18,SQL
19,Adobe
19,CSS
19,HTML
19,JavaScript
19,Cloud
19,Java
20,Adobe
20,Java
20,Cloud
20,JavaScript
21,AI
21,Cloud
21,LLM
21,Java
21,Python
21,.NET
22,Python
22,Flask
22,FastAPI
22,Microservices
22,C++
22,TensorFlow
23,Scrum
23,English
23,Agile
23,SAP
23,Project Management
23,ERP
24,AI
24,Machine Learning
24,Python
24,C#
24,LLM
25,AI
25,LLM
25,English
25,Python
26,AI
26,LLM
26,Leadership
26,Machine Learning
26,NodeJS
26,Python
27,Python
27,AI
27,AWS
27,DevOps
27,Software Architecture
28,NodeJS
28,Cloud
28,Git
28,AI
28,JavaScript
28,TypeScript
29,Java
29,Python
29,FastAPI
29,Microservices
29,AWS
29,AI
30,Product Management
30,LLM
30,Data-driven
30,English
30,PRD
30,AI
31,Business Analysis
31,OCR
31,LLM
31,Database
31,AI
32,Python
32,Redis
32,PostgreSql
32,Playwright
32,LLM
32,English
33,AI
33,API
33,Machine Learning
33,NodeJS
33,Python
33,LLM
34,AI
34,Data Engineer
34,MLOps
34,Machine Learning
34,ELT
34,Python
35,AI
35,Predictive models
35,Machine Learning
35,Database
35,SAP
35,Python
36,AI
36,LLM
36,Machine Learning
36,Data Science
36,Python
37,AI
37,Azure
37,JavaScript
37,Git
37,C#
37,Python
38,Generative AI
38,GitHub
38,Java
38,English
38,Python
38,AI
39,AI
39,LLM
39,Python
39,Data Science
39,Machine Learning
40,Python
40,AI
40,OCR
40,LLM
40,Deep Learning
40,Machine Learning
41,AI
41,Deep Learning
41,NumPy
41,Python
41,Machine Learning
41,Computer Vision
42,AI
42,TensorFlow
42,PyTorch
42,Microservices
42,C++
42,Python
44,AI
44,SQL
44,Machine Learning
44,LLM
45,AI
45,Python
45,Docker
45,LLM
45,Generative AI
46,AI
46,TensorFlow
46,PyTorch
46,Microservices
46,C++
46,Python
48,AI
48,Machine Learning
48,NextJS
48,ReactJS
48,Python
48,NodeJS
49,AI
49,Generative AI
50,AI
50,MLOps
50,C++
50,Python
50,Generative AI
50,LLM
51,Python
51,AWS CloudFormation
51,MLOps
51,LLM
51,scikit-learn
51,TensorFlow
52,PyTorch
52,TensorFlow
52,NLP
52,AI
52,LLM
53,Python
53,Prompt Engineering
53,Microservices
53,API
53,AI
53,LLM
54,Generative AI
54,Flask
54,FastAPI
54,LLM
54,Machine Learning
54,NLP
55,AI
55,Microservices
55,Python
55,Machine Learning
56,AI
56,ERP
56,API
56,Machine Learning
57,AI
57,Machine Learning
57,Deep Learning
57,TensorFlow
57,Python
57,NLP
58,AI
58,Computer Vision
58,NLP
58,LLM
58,Data Science
59,Computer Vision
59,PyTorch
59,TensorFlow
59,OpenCV
59,Deep Learning
59,Machine Learning
60,AI
60,Machine Learning
60,Jira
60,Git
60,C++
60,Python
61,Python
61,Keras
61,TensorFlow
61,NLP
61,AI
61,C++
62,AI
62,LLM
62,TypeScript
62,NodeJS
62,Python
63,AI
63,Docker
63,Microservices
63,Python
64,AI
64,Python
64,Computer Vision
64,NLP
65,AI
65,AWS
65,Git
65,English
65,PyTorch
65,Machine Learning
66,AI
66,Python
66,LLM
66,Azure
66,OCR
66,Machine Learning
67,AI
67,NLP
67,Deep Learning
67,Python
67,API
67,Machine Learning
68,Generative AI
68,English
68,TensorFlow
68,PyTorch
68,Python
68,LLM
69,AI
69,LLM
69,Deep Learning
69,Machine Learning
69,Computer Vision
69,NLP
70,CompTIA Network+
70,Networking
71,Machine Learning
71,Cloud
71,LLM
71,PyTorch
71,English
72,Generative AI
72,Data Science
72,Python
72,Leadership
72,Machine Learning
73,AI
73,Redis
73,AWS
73,LLM
73,Python
73,Machine Learning
74,MLOps
74,AWS
74,DevOps
74,CI/CD
74,Machine Learning
74,AI
75,AI
75,Data Analysis
75,LLM
75,NodeJS
75,Python
76,Product Management
76,Computer Vision
76,LLM
76,Generative AI
76,MLOps
76,AI
77,Bridge Engineer
77,AI
77,Japanese IT Communication
77,Team Management
78,AI
78,Machine Learning
78,Deep Learning
79,AI
79,Generative AI
79,Python
79,English
79,Data Science
80,Python
80,FastAPI
80,Docker
80,Microservices Architecture
80,Golang
80,C++
81,Python
81,Java
81,JavaScript
81,Git
81,AI
81,English
82,NodeJS
82,Python
82,Automation Test
82,Redis
82,Docker
83,Networking
83,PCI DSS
83,Juniper
83,Cisco
83,System Admin
84,Android
84,MVP
84,Firebase
84,API
84,Kotlin
84,Java
85,Android
85,Clean Architecture
85,Firebase
85,MVVM
85,Java
85,Kotlin
86,Android
86,MVVM
86,Figma
86,Kotlin
88,Kotlin
88,MVP
88,MVVM
88,kotlinx.coroutines
88,Retrofit
88,Android
89,Android
89,Kotlin
89,Java
89,SQLite
90,Kotlin
90,Android
91,Android
91,Agile
92,Android
92,English
92,CI/CD
92,C++
92,Mobile Apps
92,Java
93,Embedded Android
93,Java
93,C++
93,Linux
94,Android
94,CI/CD
94,Clean Architecture
94,Java
94,Kotlin
95,Android
95,AI
95,JSON
95,Mobile Apps
95,Kotlin
95,English
96,Android
96,Hardware Design
96,Linux
96,Kotlin
96,C++
96,Embedded
97,Angular
97,Nx
97,CSS
97,HTML
97,TypeScript
97,English
98,Angular
98,Ionic
98,English
99,Microservices Architecture
99,Agile
99,Networking
99,Linux
99,GCP
100,Application Security
100,API
100,OWASP
100,Cloud Security
100,Microsoft Azure SQL Database
100,AWS
101,.Net Core
101,ReactJS
101,C#
101,.NET
101,SQL
101,Entity Framework
102,SQL
102,Business Analysis
102,MySQL
102,English
